timestamp,test-class,test-method,time,description,result
2021-06-04 22:05:12.894,acme.testing.administrator.userAccount.AdministratorUserAccountUpdateTest,updateNegative,685,"[1] username=null, password=null",OK
2021-06-04 22:05:17.02,acme.testing.administrator.userAccount.AdministratorUserAccountUpdateTest,updateNegative,3721,"[2] username=manager2, password=manager2",OK
2021-06-04 22:05:25.521,acme.testing.administrator.userAccount.AdministratorUserAccountUpdateTest,updatePositive,8234,"[1] recordIndex=3, username=manager3, name=Manager3, surname=Manager3, email=manager3@gmail.com, roles=Manager Authenticated, status=ENABLED, newStatus=KEEP",OK
2021-06-04 22:05:41.67,acme.testing.administrator.userAccount.AdministratorUserAccountListTest,listPositive,6156,"[1] recordIndex=0, username=anonymous, name=John, surname=Doe, email=john.doe@acme.com, roles=Anonymous, status=DISABLED",OK
2021-06-04 22:05:48.034,acme.testing.administrator.userAccount.AdministratorUserAccountListTest,listPositive,6062,"[2] recordIndex=1, username=administrator, name=Administrator, surname=Acme.com, email=administrator@acme.com, roles=Administrator Authenticated, status=ENABLED",OK
2021-06-04 22:05:54.436,acme.testing.administrator.userAccount.AdministratorUserAccountListTest,listPositive,6120,"[1] recordIndex=2, username=manager2, name=Manager2, surname=Manager2, email=manager2@gmail.com, roles=Manager Authenticated, status=ENABLED, newStatus=KEEP",OK
2021-06-04 22:05:55.02,acme.testing.administrator.userAccount.AdministratorUserAccountListTest,listNegative,302,"[1] username=null, password=null",OK
2021-06-04 22:05:58.883,acme.testing.administrator.userAccount.AdministratorUserAccountListTest,listNegative,3586,"[2] username=manager2, password=manager2",OK
2021-06-04 22:06:11.133,acme.testing.anonymous.workplan.AnonymousWorkPlanListTest,listPositive,2646,"[1] recordIndex=1, startDate=2021/08/12 12:00, endDate=2021/08/12 15:00, workLoad=2.00, publicPlan=true",OK
2021-06-04 22:06:14.026,acme.testing.anonymous.workplan.AnonymousWorkPlanListTest,listPositive,2501,"[2] recordIndex=2, startDate=2021/07/30 10:00, endDate=2021/07/30 11:30, workLoad=26.00, publicPlan=true",OK
2021-06-04 22:06:17.879,acme.testing.anonymous.workplan.AnonymousWorkPlanListTest,listNegative,3572,"[1] username=manager2, password=manager2",OK
2021-06-04 22:06:21.782,acme.testing.anonymous.workplan.AnonymousWorkPlanListTest,listNegative,3634,"[2] username=administrator, password=administrator",OK
2021-06-04 22:06:38.768,acme.testing.administrator.spamfilter.threshold.AdministratorThresholdUpdateTest,updatePositive,7362,"[1] recordIndex=0, value=15.00",OK
2021-06-04 22:06:46.348,acme.testing.administrator.spamfilter.threshold.AdministratorThresholdUpdateTest,updatePositive,7230,"[2] recordIndex=0, value=20.00",OK
2021-06-04 22:06:52.919,acme.testing.administrator.spamfilter.threshold.AdministratorThresholdUpdateTest,updateNegative,6305,"[1] recordIndex=0, value=null",OK
2021-06-04 22:06:59.513,acme.testing.administrator.spamfilter.threshold.AdministratorThresholdUpdateTest,updateNegative,6324,"[2] recordIndex=0, value=asd",OK
2021-06-04 22:07:00.167,acme.testing.administrator.spamfilter.threshold.AdministratorThresholdUpdateTest,updateNegative,358,"[1] username=null, password=null",OK
2021-06-04 22:07:04.082,acme.testing.administrator.spamfilter.threshold.AdministratorThresholdUpdateTest,updateNegative,3573,"[2] username=manager2, password=manager2",OK
2021-06-04 22:07:19.121,acme.testing.administrator.spamfilter.threshold.AdministratorThresholdListTest,listPositive,5324,"[1] recordIndex=0, value=10.00",OK
2021-06-04 22:07:19.788,acme.testing.administrator.spamfilter.threshold.AdministratorThresholdListTest,listNegative,383,"[1] username=null, password=null",OK
2021-06-04 22:07:23.905,acme.testing.administrator.spamfilter.threshold.AdministratorThresholdListTest,listNegative,3660,"[2] username=manager2, password=manager2",OK
2021-06-04 22:07:38.54,acme.testing.administrator.workplan.AdministratorWorkPlanDashBoardTestCase,listPositive,4893,"[1] recordIndex=2, publicTasks=4, privateTasks=4, finishedTasks=3, nonFinishedTasks=5, averageWorkFlow=5.44, deviationWorkFlow=7.90, maxWorkFlow=26.00, minWorkFlow=0.00, averageExecutionPeriod=14.88, deviationExecutionPeriod=59.50, maxExecutionPeriod=119.00, minExecutionPeriod=0.00",OK
2021-06-04 22:07:49.652,acme.testing.administrator.workplan.AdministratorWorkPlanDashBoardTestCase,listPositive,10843,"[2] recordIndex=0, publicTasks=5, privateTasks=3, finishedTasks=3, nonFinishedTasks=5, averageWorkFlow=5.44, deviationWorkFlow=7.90, maxWorkFlow=26.00, minWorkFlow=0.00, averageExecutionPeriod=14.88, deviationExecutionPeriod=59.50, maxExecutionPeriod=119.00, minExecutionPeriod=0.00",OK
2021-06-04 22:07:59.752,acme.testing.administrator.workplan.AdministratorWorkPlanDashBoardTestCase,listPositive,9799,"[3] recordIndex=1, publicTasks=6, privateTasks=2, finishedTasks=3, nonFinishedTasks=5, averageWorkFlow=5.44, deviationWorkFlow=7.90, maxWorkFlow=26.00, minWorkFlow=0.00, averageExecutionPeriod=14.88, deviationExecutionPeriod=59.50, maxExecutionPeriod=119.00, minExecutionPeriod=0.00",OK
2021-06-04 22:08:00.362,acme.testing.administrator.workplan.AdministratorWorkPlanDashBoardTestCase,listNegative,320,"[1] username=null, password=null",OK
2021-06-04 22:08:04.278,acme.testing.administrator.workplan.AdministratorWorkPlanDashBoardTestCase,listNegative,3615,"[2] username=manager3, password=manager3",OK
2021-06-04 22:08:21.479,acme.testing.manager.workplan.ManagerWorkPlanCreateTest,createPositive,7552,"[1] recordIndex=4, startDate=2022/06/01 14:00, endDate=2022/07/01 14:00",OK
2021-06-04 22:08:29.32,acme.testing.manager.workplan.ManagerWorkPlanCreateTest,createPositive,7541,"[2] recordIndex=5, startDate=2022/07/15 10:00, endDate=2022/08/01 15:00",OK
2021-06-04 22:08:34.62,acme.testing.manager.workplan.ManagerWorkPlanCreateTest,createNegative,5046,"[1] startDate=2020/06/01 14:00, endDate=2022/07/01 14:00",OK
